school_name,school_code,county_code,county_name,category,group,enrollment,year
Warwick Elementary School,0205,09,Dorchester County,Grade,Grade 5,46,2025
Warwick Elementary School,0205,09,Dorchester County,Grade,Elementary,263,2025
South Dorchester School,0508,09,Dorchester County,Race/Ethnicity,All Students,230,2025
South Dorchester School,0508,09,Dorchester County,Race/Ethnicity,Asian,*,2025
South Dorchester School,0508,09,Dorchester County,Race/Ethnicity,African Am.,*,2025
South Dorchester School,0508,09,Dorchester County,Race/Ethnicity,Hispanic,11,2025
South Dorchester School,0508,09,Dorchester County,Race/Ethnicity,White,197,2025
South Dorchester School,0508,09,Dorchester County,Race/Ethnicity,2+,11,2025
South Dorchester School,0508,09,Dorchester County,Gender,All Students,230,2025
South Dorchester School,0508,09,Dorchester County,Gender,Male,108,2025
South Dorchester School,0508,09,Dorchester County,Gender,Female,122,2025
South Dorchester School,0508,09,Dorchester County,Grade,All Students,230,2025
South Dorchester School,0508,09,Dorchester County,Grade,Pre-Kindergarten,15,2025
South Dorchester School,0508,09,Dorchester County,Grade,Kindergarten,26,2025
South Dorchester School,0508,09,Dorchester County,Grade,Grade 1,27,2025
South Dorchester School,0508,09,Dorchester County,Grade,Grade 2,17,2025
South Dorchester School,0508,09,Dorchester County,Grade,Grade 3,23,2025
South Dorchester School,0508,09,Dorchester County,Grade,Grade 4,22,2025
South Dorchester School,0508,09,Dorchester County,Grade,Grade 5,25,2025
South Dorchester School,0508,09,Dorchester County,Grade,Elementary,114,2025
Mace's Lane Middle School,0707,09,Dorchester County,Race/Ethnicity,All Students,490,2025
Mace's Lane Middle School,0707,09,Dorchester County,Race/Ethnicity,Asian,*,2025
Mace's Lane Middle School,0707,09,Dorchester County,Race/Ethnicity,African Am.,287,2025
Mace's Lane Middle School,0707,09,Dorchester County,Race/Ethnicity,Hispanic,89,2025
Mace's Lane Middle School,0707,09,Dorchester County,Race/Ethnicity,White,62,2025
Mace's Lane Middle School,0707,09,Dorchester County,Race/Ethnicity,2+,49,2025
Mace's Lane Middle School,0707,09,Dorchester County,Gender,All Students,490,2025
Mace's Lane Middle School,0707,09,Dorchester County,Gender,Male,269,2025
Mace's Lane Middle School,0707,09,Dorchester County,Gender,Female,221,2025
Mace's Lane Middle School,0707,09,Dorchester County,Grade,All Students,490,2025
North Dorchester Middle School,0208,09,Dorchester County,Race/Ethnicity,All Students,414,2025
North Dorchester Middle School,0208,09,Dorchester County,Race/Ethnicity,Asian,*,2025
North Dorchester Middle School,0208,09,Dorchester County,Race/Ethnicity,African Am.,81,2025
North Dorchester Middle School,0208,09,Dorchester County,Race/Ethnicity,Hispanic,43,2025
North Dorchester Middle School,0208,09,Dorchester County,Race/Ethnicity,White,253,2025
North Dorchester Middle School,0208,09,Dorchester County,Race/Ethnicity,2+,30,2025
North Dorchester Middle School,0208,09,Dorchester County,Gender,All Students,414,2025
North Dorchester Middle School,0208,09,Dorchester County,Gender,Male,206,2025
North Dorchester Middle School,0208,09,Dorchester County,Gender,Female,208,2025
North Dorchester Middle School,0208,09,Dorchester County,Grade,All Students,414,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Race/Ethnicity,All Students,811,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Race/Ethnicity,Asian,*,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Race/Ethnicity,African Am.,461,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Race/Ethnicity,Hispanic,97,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Race/Ethnicity,White,198,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Race/Ethnicity,HI/Pac.Isl.,*,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Race/Ethnicity,2+,49,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Gender,All Students,811,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Gender,Male,424,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Gender,Female,383,2025
Cambridge-South Dorchester High School,0713,09,Dorchester County,Grade,All Students,811,2025
North Dorchester High School,0207,09,Dorchester County,Race/Ethnicity,All Students,526,2025
North Dorchester High School,0207,09,Dorchester County,Race/Ethnicity,Asian,*,2025
North Dorchester High School,0207,09,Dorchester County,Race/Ethnicity,African Am.,121,2025
North Dorchester High School,0207,09,Dorchester County,Race/Ethnicity,Hispanic,60,2025
North Dorchester High School,0207,09,Dorchester County,Race/Ethnicity,White,299,2025
North Dorchester High School,0207,09,Dorchester County,Race/Ethnicity,Am.Ind/AK,*,2025
North Dorchester High School,0207,09,Dorchester County,Race/Ethnicity,2+,38,2025
North Dorchester High School,0207,09,Dorchester County,Gender,All Students,526,2025
North Dorchester High School,0207,09,Dorchester County,Gender,Male,257,2025
North Dorchester High School,0207,09,Dorchester County,Gender,Female,269,2025
North Dorchester High School,0207,09,Dorchester County,Grade,All Students,526,2025
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,All Students,309,2025
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,African Am.,22,2025
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,Hispanic,63,2025
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,White,201,2025
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,2+,23,2025
Galena Elementary School,0105,14,Kent County,Gender,All Students,309,2025
Galena Elementary School,0105,14,Kent County,Gender,Male,152,2025
Galena Elementary School,0105,14,Kent County,Gender,Female,157,2025
Galena Elementary School,0105,14,Kent County,Grade,All Students,309,2025
Galena Elementary School,0105,14,Kent County,Grade,Pre-Kindergarten,43,2025
Galena Elementary School,0105,14,Kent County,Grade,Kindergarten,49,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 1,49,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 2,49,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 3,42,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 4,36,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 5,41,2025
Galena Elementary School,0105,14,Kent County,Grade,Elementary,217,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,All Students,322,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,Asian,10,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,African Am.,95,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,Hispanic,47,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,White,133,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,2+,37,2025
H. H. Garnett Elementary,0403,14,Kent County,Gender,All Students,322,2025
H. H. Garnett Elementary,0403,14,Kent County,Gender,Male,172,2025
H. H. Garnett Elementary,0403,14,Kent County,Gender,Female,150,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,All Students,322,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Pre-Kindergarten,40,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Kindergarten,42,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 1,48,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 2,42,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 3,47,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 4,50,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 5,53,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Elementary,240,2025
Rock Hall Elementary,0504,14,Kent County,Race/Ethnicity,All Students,198,2025
Rock Hall Elementary,0504,14,Kent County,Race/Ethnicity,African Am.,49,2025
Rock Hall Elementary,0504,14,Kent County,Race/Ethnicity,Hispanic,*,2025
Rock Hall Elementary,0504,14,Kent County,Race/Ethnicity,White,116,2025
Rock Hall Elementary,0504,14,Kent County,Race/Ethnicity,Am.Ind/AK,*,2025
Rock Hall Elementary,0504,14,Kent County,Race/Ethnicity,2+,23,2025
Rock Hall Elementary,0504,14,Kent County,Gender,All Students,198,2025
Rock Hall Elementary,0504,14,Kent County,Gender,Male,108,2025
Rock Hall Elementary,0504,14,Kent County,Gender,Female,90,2025
